DL Lesson	Simplified Chinese	Selected Pinyin	Simple English Definition	Clean CC-CEDICT English definition
Existence	树	shù	GT: tree	tree / CL: 棵 / to cultivate / to set up
Sports 1	步	bù	GT: step	surname Bu || a step / a pace / walk / march / stages in a process / situation
Sports 1	跑	páo	GT: run	(of an animal) to paw (the ground) || to run / to run away / to escape / to run around (on errands etc) / (of a gas or liquid) to leak or evaporate / (verb complement) away / off
Sports 1	泳	yǒng	GT: swimming	swimming / to swim
Sports 1	游泳	yóu yǒng	GT: Swim	swimming / to swim
Sports 1	跑步	pǎo bù	GT: Run	to run / to jog / (military) to march at the double
Sports 1	踢	tī	GT: kick	to kick / to play (e.g. soccer) / (slang) butch (in a lesbian relationship)
Sports 1	足球	zú qiú	GT: football	soccer ball / a football / CL: 個｜个 / soccer / football
Sports 1	打	dá	GT: hit	dozen (loanword) || to beat / to strike / to hit / to break / to type / to mix up / to build / to fight / to fetch / to make / to tie up / to issue / to shoot / to calculate / to play (a game) / since / from
Sports 1	篮球	lán qiú	GT: basketball	basketball / CL: 個｜个, 隻｜只
Sports 1	足	jù	GT: leg	excessive || foot / to be sufficient / ample
Sports 1	篮	lán	GT: basket	basket (receptacle) / basket (in basketball)
Sports 1	球	qiú	GT: ball	ball / sphere / globe / CL: 個｜个 / ball game / match / CL: 場｜场
Sports 1	运动	yùn dòng	GT: motion	to move / to exercise / sports / exercise / motion / movement / campaign / CL: 場｜场
Sports 1	马	mǎ	GT: horse	surname Ma / abbr. for Malaysia 馬來西亞｜马来西亚 || horse / CL: 匹 / horse or cavalry piece in Chinese chess / knight in Western chess
Sports 1	骑	jì	GT: ride	(Taiwan) saddle horse / mounted soldier || to ride (an animal or bike) / to sit astride / classifier for saddle-horses
Sports 1	运	yùn	GT: Transport	to move / to transport / to use / to apply / fortune / luck / fate
Sports 1	动	dòng	GT: move	(of sth) to move / to set in movement / to displace / to touch / to make use of / to stir (emotions) / to alter / abbr. for 動詞｜动词, verb
Invitiation 1	吧	bā	GT: It	bar (loanword) (serving drinks, or providing Internet access etc) / to puff (on a pipe etc) / (onom.) bang / abbr. for 貼吧｜贴吧 || (modal particle indicating suggestion or surmise) / ...right? / ...OK? / ...I presume.
Invitiation 1	出去	chū qù	GT: Out	to go out
Invitiation 1	时间	shí jiān	GT: time	time / period / CL: 段
Invitiation 1	时候	shí hou	GT: time	time / length of time / moment / period
Invitiation 1	空	kōng	GT: air	empty / air / sky / in vain || to empty / vacant / unoccupied / space / leisure / free time
Invitiation 1	来	lái	GT: Come	to come / to arrive / to come round / ever since / next
Invitiation 1	候	hòu	GT: Wait	to wait / to inquire after / to watch / season / climate / (old) period of five days
Invitiation 1	过	guò	GT: Live	surname Guo || to cross / to go over / to pass (time) / to celebrate (a holiday) / to live / to get along / excessively / too- || (experienced action marker)
Invitiation 1	一起	yī qǐ	GT: together	in the same place / together / with / altogether (in total)
Invitiation 1	不好意思	bù hǎo yì si	GT: Feel embarrassed	to feel embarrassed / to find it embarrassing / to be sorry (for inconveniencing sb)
Invitiation 1	告诉	gào sù	GT: tell	to press charges / to file a complaint || to tell / to inform / to let know
Invitiation 1	告	gào	GT: Tell	to say / to tell / to announce / to report / to denounce / to file a lawsuit / to sue
Invitiation 1	诉	sù	GT: Complaint	to complain / to sue / to tell
Invitiation 1	约会	yuē huì	GT: appointment	appointment / engagement / date / CL: 次, 個｜个 / to arrange to meet
Invitiation 1	浪漫	làng màn	GT: romantic	romantic
Invitiation 1	浪	làng	GT: wave	wave / breaker / unrestrained / dissipated
Invitiation 1	漫	màn	GT: Overflow	free / unrestrained / to inundate
Health 2	该	gāi	GT: That	should / ought to / probably / must be / to deserve / to owe / to be sb's turn to do sth / that / the above-mentioned
Health 2	病	bìng	GT: disease	illness / CL: 場｜场 / disease / to fall ill / defect
Health 2	舒	shū	GT: Shu	surname Shu || to stretch / to unfold / to relax / leisurely
Health 2	应	yìng	GT: should	surname Ying || to agree (to do sth) / should / ought to / must / (legal) shall || to answer / to respond / to comply with / to deal or cope with
Health 2	生病	shēng bìng	GT: sick	to fall ill
Health 2	应该	yīng gāi	GT: should	ought to / should / must
Health 2	舒服	shū fu	GT: Comfortably	comfortable / feeling well
Health 2	疼	téng	GT: pain	(it) hurts / sore / to love dearly
Health 2	头	tóu	GT: head	head / hair style / the top / end / beginning or end / a stub / remnant / chief / boss / side / aspect / first / leading / classifier for pigs or livestock / CL: 個｜个 || suffix for nouns
Health 2	休息	xiū xi	GT: rest	rest / to rest
Health 2	休	xiū	GT: Rest	surname Xiu || to rest / to stop doing sth for a period of time / to cease / (imperative) don't
Health 2	息	xī	GT: interest	breath / news / interest (on an investment or loan) / to cease / to stop / to rest / Taiwan pr. [xi2]
Health 2	肚子	dù zi	GT: belly	belly / abdomen / stomach / CL: 個｜个
Health 2	肚	dǔ	GT: tripe	tripe || belly
Health 2	药	yào	GT: medicine	leaf of the iris / variant of 藥｜药 || medicine / drug / substance used for a specific purpose (e.g. poisoning, explosion, fermenting) / CL: 種｜种, 服, 味 / to poison
Health 2	一定	yī dìng	GT: for sure	surely / certainly / necessarily / fixed / a certain (extent etc) / given / particular / must
Health 2	感冒	gǎn mào	GT: cold	to catch cold / (common) cold / CL: 場｜场, 次 / (coll.) to be interested in (often used in the negative) / (Tw) to detest / can't stand
Health 2	感	gǎn	GT: sense	to feel / to move / to touch / to affect / feeling / emotion / (suffix) sense of ~
Health 2	定	dìng	GT: set	to set / to fix / to determine / to decide / to order
Health 2	冒	mào	GT: Risk	surname Mao || to emit / to give off / to send out (or up, forth) / to brave / to face / reckless / to falsely adopt (sb's identity etc) / to feign / (literary) to cover
Health 2	留	liú	GT: stay	to leave (a message etc) / to retain / to stay / to remain / to keep / to preserve
Health 2	请假	qǐng jià	GT: Ask for leave	to request leave of absence
Health 2	发烧	fā shāo	GT: fever	to have a high temperature (from illness) / to have a fever
Health 2	别	bié	GT: do not	surname Bie || to leave / to depart / to separate / to distinguish / to classify / other / another / don't ...! / to pin / to stick (sth) in || to make sb change their ways, opinions etc
Health 2	发	fā	GT: hair	to send out / to show (one's feeling) / to issue / to develop / to make a bundle of money / classifier for gunshots (rounds) || hair / Taiwan pr. [fa3]
Health 2	假	jiǎ	GT: false	fake / false / artificial / to borrow / if / suppose || vacation
Health 2	烧	shāo	GT: burn	to burn / to cook / to stew / to bake / to roast / to heat / to boil (tea, water etc) / fever / to run a temperature / (coll.) to let things go to one's head
Invitation 2	派	pài	GT: send	clique / school / group / faction / to dispatch / to send / to assign / to appoint / pi (Greek letter Ππ) / the circular ratio pi = 3.1415926 / (loanword) pie
Invitation 2	能	néng	GT: can	surname Neng || can / to be able to / might possibly / ability / (physics) energy
Invitation 2	生日	shēng rì	GT: birthday	birthday / CL: 個｜个
Invitation 2	派对	pài duì	GT: Party	party (loanword)
Invitation 2	打扮	dǎ ban	GT: dress up	to decorate / to dress / to make up / to adorn / manner of dressing / style of dress
Invitation 2	扮	bàn	GT: Play	to disguise oneself as / to dress up / to play (a role) / to put on (an expression)
Invitation 2	希望	xī wàng	GT: hope	to wish for / to desire / hope / CL: 個｜个
Invitation 2	跟	gēn	GT: with	heel / to follow closely / to go with / (of a woman) to marry sb / with / compared with / to / towards / and (joining two nouns)
Invitation 2	希	xī	GT: hope	to hope / to admire / variant of 稀
Invitation 2	望	wàng	GT: hope	full moon / to hope / to expect / to visit / to gaze (into the distance) / to look towards / towards || 15th day of month (lunar calendar) / old variant of 望
Invitation 2	大家	dà jiā	GT: everyone	everyone / influential family / great expert
Invitation 2	公司	gōng sī	GT: the company	(business) company / company / firm / corporation / incorporated / CL: 家
Invitation 2	正在	zhèng zài	GT: Seizai	just at (that time) / right in (that place) / right in the middle of (doing sth)
Invitation 2	正	zhēng	GT: positive	first month of the lunar year || straight / upright / proper / main / principal / to correct / to rectify / exactly / just (at that time) / right (in that place) / (math.) positive
Invitation 2	司	sī	GT: Department	surname Si || to take charge of / to manage / department (under a ministry)
Invitation 2	事情	shì qing	GT: thing	affair / matter / thing / business / CL: 件, 樁｜桩
Invitation 2	才	cái	GT: only	ability / talent / sb of a certain type / a capable individual / only / only then / just now || a moment ago / just now / (indicating sth happening later than expected) / (preceded by a clause of condition or reason) not until / (followed by a numerical clause) only
Invitation 2	事	shì	GT: Thing	matter / thing / item / work / affair / CL: 件, 樁｜桩, 回
Invitation 2	情	qíng	GT: situation	feeling / emotion / passion / situation
Dining 3	费	fèi	GT: fee	surname Fei || to cost / to spend / fee / wasteful / expenses
Dining 3	完	wán	GT: Finish	to finish / to be over / whole / complete / entire
Dining 3	经	jīng	GT: through	surname Jing || classics / sacred book / scripture / to pass through / to undergo / to bear / to endure / warp (textile) / longitude / menstruation / channel (TCM) / abbr. for economics 經濟｜经济
Dining 3	已	yǐ	GT: Already	already / to stop / then / afterwards
Dining 3	已经	yǐ jīng	GT: already	already
Dining 3	小费	xiǎo fèi	GT: tip	tip / gratuity
Dining 3	饱	bǎo	GT: full	to eat till full / satisfied
Dining 3	好吃	hǎo chī	GT: good to eat	tasty / delicious || to be fond of eating / to be gluttonous
Dining 3	真	zhēn	GT: true	really / truly / indeed / real / true / genuine
Dining 3	饿	è	GT: hungry	to be hungry / hungry / to starve (sb)
Dining 3	好喝	hǎo hē	GT: Tasty	tasty (drinks)
Dining 3	渴	kě	GT: thirsty	thirsty
Dining 3	巧克力	qiǎo kè lì	GT: chocolate	chocolate (loanword) / CL: 塊｜块
Dining 3	味道	wèi dao	GT: taste	flavor / smell / hint of
Dining 3	甜点	tián diǎn	GT: dessert	dessert
Dining 3	甜	tián	GT: sweet	sweet
Dining 3	巧	qiǎo	GT: Opportunely	opportunely / coincidentally / as it happens / skillful / timely
Dining 3	克	kè	GT: Gram	to be able to / to subdue / to restrain / to overcome / gram / Tibetan unit of land area, about 6 ares || Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝 descended from Shennong 神農｜神农 Farmer God || to scold / to beat
Dining 3	力	lì	GT: force	surname Li || power / force / strength / ability / strenuously
Shopping 2	试	shì	GT: test	to test / to try / experiment / examination / test
Shopping 2	蓝	lán	GT: blue	surname Lan || blue / indigo plant
Shopping 2	条	tiáo	GT: article	strip / item / article / clause (of law or treaty) / classifier for long thin things (ribbon, river, road, trousers etc)
Shopping 2	裙	qún	GT: skirt	skirt / CL: 條｜条
Shopping 2	裙子	qún zi	GT: skirt	skirt / CL: 條｜条
Shopping 2	双	shuāng	GT: double	surname Shuang || two / double / pair / both / even (number)
Shopping 2	鞋子	xié zi	GT: Shoe	shoe
Shopping 2	意大利	yì dà lì	GT: Italy	Italy / Italian
Shopping 2	色	sè	GT: color	color / CL: 種｜种 / look / appearance / sex || color / dice
Shopping 2	鞋	xié	GT: shoe	shoe / CL: 雙｜双, 隻｜只
Shopping 2	利	lì	GT: Profit	surname Li || sharp / favorable / advantage / benefit / profit / interest / to do good to / to benefit
Shopping 2	比	bǐ	GT: ratio	Belgium / Belgian / abbr. for 比利時｜比利时 || (particle used for comparison and '-er than') / to compare / to contrast / to gesture (with hands) / ratio || to associate with / to be near
Shopping 2	衬衫	chèn shān	GT: shirt	shirt / blouse / CL: 件
Shopping 2	衬	chèn	GT: lining	(of garments) against the skin / to line / lining / to contrast with / to assist financially
Shopping 2	衫	shān	GT: Shirt	garment / jacket with open slits in place of sleeves
Shopping 2	裤子	kù zi	GT: pants	trousers / pants / CL: 條｜条
Shopping 2	好看	hǎo kàn	GT: good looking	good-looking / nice-looking / good (of a movie, book, TV show etc) / embarrassed / humiliated
Shopping 2	裤	kù	GT: pants	underpants / trousers / pants
Shopping 2	质	zhì	GT: quality	character / nature / quality / plain / to pawn / pledge / hostage / to question / Taiwan pr. [zhi2]
Shopping 2	量	liáng	GT: the amount	to measure || capacity / quantity / amount / to estimate / abbr. for 量詞｜量词, classifier (in Chinese grammar) / measure word
Shopping 2	质量	zhì liàng	GT: quality	quality / (physics) mass / CL: 個｜个
Body Parts	朵	duǒ	GT: Flowers	flower / earlobe / fig. item on both sides / classifier for flowers, clouds etc
Body Parts	睛	jīng	GT: eye	eye / eyeball
Body Parts	绿	lǜ	GT: green	green
Body Parts	耳	ěr	GT: ear	ear / handle (archaeology) / and that is all (classical Chinese)
Body Parts	眼	yǎn	GT: eye	eye / small hole / crux (of a matter) / CL: 隻｜只, 雙｜双 / classifier for big hollow things (wells, stoves, pots etc)
Body Parts	耳朵	ěr duo	GT: ear	ear / CL: 隻｜只, 個｜个, 對｜对 / handle (on a cup)
Body Parts	眼睛	yǎn jing	GT: eye	eye / CL: 隻｜只, 雙｜双
Body Parts	头发	tóu fa	GT: hair	hair (on the head)
Body Parts	脸	liǎn	GT: face	face / CL: 張｜张, 個｜个
Body Parts	又	yòu	GT: also	(once) again / also / both... and... / and yet / (used for emphasis) anyway
Body Parts	黑	hēi	GT: black	abbr. for Heilongjiang province 黑龍江｜黑龙江 || black / dark / sinister / secret / shady / illegal / to hide (sth) away / to vilify / (loanword) to hack (computing)
Body Parts	嘴巴	zuǐ ba	GT: mouth	mouth / CL: 張｜张 / slap in the face / CL: 個｜个
Body Parts	鼻子	bí zi	GT: nose	nose / CL: 個｜个, 隻｜只
Body Parts	脚	jiǎo	GT: foot	foot / leg (of an animal or an object) / base (of an object) / CL: 雙｜双, 隻｜只 / classifier for kicks
Body Parts	嘴	zuǐ	GT: mouth	mouth / beak / nozzle / spout (of teapot etc) / CL: 張｜张, 個｜个
Body Parts	鼻	bí	GT: nose	nose
Body Parts	巴	bā	GT: -bar	Ba state during Zhou dynasty (in east of modern Sichuan) / abbr. for east Sichuan or Chongqing / surname Ba / abbr. for Palestine or Palestinian / abbr. for Pakistan || to long for / to wish / to cling to / to stick to / sth that sticks / close to / next to / spread open / informal abbr. for bus 巴士 / bar (unit of pressure) / nominalizing suffix on certain nouns, such as 尾巴, tail
Travel	远	yuǎn	GT: far	far / distant / remote / (intensifier in a comparison) by far / much (lower etc) || to distance oneself from (classical)
Travel	离	chī	GT: from	mythical beast (archaic) || surname Li || to leave / to part from / to be away from / (in giving distances) from / without (sth) / independent of / one of the Eight Trigrams 八卦, symbolizing fire / ☲
Travel	走路	zǒu lù	GT: walk	to walk / to go on foot
Travel	开车	kāi chē	GT: Drive a car	to drive a car
Travel	飞机	fēi jī	GT: aircraft	airplane / CL: 架
Travel	机场	jī chǎng	GT: airport	airport / airfield / CL: 家, 處｜处
Travel	飞	fēi	GT: fly	to fly
Travel	场	cháng	GT: field	threshing floor / classifier for events and happenings: spell, episode, bout || large place used for a specific purpose / stage / scene (of a play) / classifier for sporting or recreational activities / classifier for number of exams
Travel	靠	kào	GT: by	to lean against or on / to stand by the side of / to come near to / to depend on / to trust / to fuck (vulgar) / traditional military costume drama where the performers wear armor (old)
Travel	停	tíng	GT: stop	to stop / to halt / to park (a car)
Travel	火车	huǒ chē	GT: train	train / CL: 列, 節｜节, 班, 趟
Travel	票	piào	GT: ticket	ticket / ballot / banknote / CL: 張｜张 / person held for ransom / amateur performance of Chinese opera / classifier for groups, batches, business transactions
Travel	机票	jī piào	GT: Air tickets	air ticket / passenger ticket / CL: 張｜张
Travel	火	huǒ	GT: fire	surname Huo || fire / urgent / ammunition / fiery or flaming / internal heat (Chinese medicine) / hot (popular) / classifier for military units (old)
Travel	迟到	chí dào	GT: be late	to arrive late
Travel	让	ràng	GT: Let	to yield / to permit / to let sb do sth / to have sb do sth / to make sb (feel sad etc) / by (indicates the agent in a passive clause, like 被)
Travel	怎么办	zěn me bàn	GT: How to do	what's to be done
Travel	迟	chí	GT: late	surname Chi || late / delayed / slow
Weather	冷	lěng	GT: cold	surname Leng || cold
Weather	晴	qíng	GT: clear	clear / fine (weather)
Weather	天气	tiān qì	GT: the weather	weather
Weather	雨	yǔ	GT: rain	rain / CL: 陣｜阵, 場｜场 || to rain / (of rain, snow etc) to fall / to precipitate / to wet
Weather	雪	xuě	GT: snow	surname Xue || snow / snowfall / CL: 場｜场 / to have the appearance of snow / to wipe away, off or out / to clean
Weather	阴	yīn	GT: Yin	surname Yin || overcast (weather) / cloudy / shady / Yin (the negative principle of Yin and Yang) / negative (electric.) / feminine / moon / implicit / hidden / genitalia
Weather	着	zhāo	GT: The	(chess) move / trick / all right! / (dialect) to add || to touch / to come in contact with / to feel / to be affected by / to catch fire / to burn / (coll.) to fall asleep / (after a verb) hitting the mark / succeeding in || aspect particle indicating action in progress || to wear (clothes) / to contact / to use / to apply
Weather	伞	sǎn	GT: umbrella	umbrella / parasol / CL: 把 || damask silk / variant of 傘｜伞
Weather	带	dài	GT: band	band / belt / girdle / ribbon / tire / area / zone / region / CL: 條｜条 / to wear / to carry / to take along / to bear (i.e. to have) / to lead / to bring / to look after / to raise
Weather	外面	wài miàn	GT: outside	outside (also pr. [wai4 mian5] for this sense) / surface / exterior / external appearance
Weather	可能	kě néng	GT: may	might (happen) / possible / probable / possibility / probability / maybe / perhaps / CL: 個｜个
Weather	刮	guā	GT: scratch	to scrape / to blow / to shave / to plunder / to extort || to blow (of the wind)
Weather	风	fēng	GT: wind	wind / news / style / custom / manner / CL: 陣｜阵, 絲｜丝
Weather	如果	rú guǒ	GT: in case	if / in case / in the event that
Weather	就	jiù	GT: on	at once / right away / only / just (emphasis) / as early as / already / as soon as / then / in that case / as many as / even if / to approach / to move towards / to undertake / to engage in / to suffer / subjected to / to accomplish / to take advantage of / to go with (of foods) / with regard to / concerning
Weather	从来	cóng lái	GT: Never	always / at all times / never (if used in negative sentence)
Weather	如	rú	GT: Such as	as / as if / such as
Weather	里面	lǐ miàn	GT: inside	inside / interior / also pr. [li3 mian5]
Shopping 3	然	rán	GT: However	correct / right / so / thus / like this / -ly
Shopping 3	但	dàn	GT: but	but / yet / however / only / merely / still
Shopping 3	虽	suī	GT: although	although / even though
Shopping 3	短	duǎn	GT: short	short / brief / to lack / weak point / fault
Shopping 3	长	cháng	GT: long	length / long / forever / always / constantly || chief / head / elder / to grow / to develop / to increase / to enhance
Shopping 3	虽然	suī rán	GT: although	although / even though / even if
Shopping 3	但是	dàn shì	GT: but	but / however
Shopping 3	红	hóng	GT: red	surname Hong || red / popular / revolutionary / bonus
Shopping 3	颜色	yán sè	GT: colour	color / countenance / appearance / facial expression / pigment / dyestuff
Shopping 3	穿	chuān	GT: wear	to wear / to put on / to dress / to bore through / to pierce / to perforate / to penetrate / to pass through / to thread
Shopping 3	颜	yán	GT: Color	surname Yan || color / face / countenance
Shopping 3	黄	huáng	GT: yellow	surname Huang or Hwang || yellow / pornographic / to fall through
Shopping 3	手表	shǒu biǎo	GT: Watch	wrist watch / CL: 塊｜块, 隻｜只, 個｜个
Shopping 3	卖	mài	GT: Sell	to sell / to betray / to spare no effort / to show off or flaunt
Shopping 3	帽子	mào zi	GT: hat	hat / cap / (fig.) label / bad name / CL: 頂｜顶
Shopping 3	帽	mào	GT: cap	hat / cap
Shopping 3	表	biǎo	GT: table	exterior surface / family relationship via females / to show (one's opinion) / a model / a table (listing information) / a form / a meter (measuring sth) || wrist or pocket watch
Shopping 3	紫	zǐ	GT: purple	purple / violet / amethyst / Lithospermum erythrorhizon (flowering plant whose root provides red purple dye) / Japanese: murasaki
People 2	绍	shào	GT: Introduce	surname Shao || to continue / to carry on
People 2	介	jiè	GT: Introduction	to introduce / to lie between / between / shell / armor
People 2	介绍	jiè shào	GT: Introduction	to introduce (sb to sb) / to give a presentation / to present (sb for a job etc) / introduction
People 2	帅	shuài	GT: Shuai	surname Shuai || handsome / graceful / smart / commander in chief / (coll.) cool! / sweet!
People 2	笑	xiào	GT: Lol	laugh / smile / CL: 個｜个
People 2	说话	shuō huà	GT: speak	to speak / to say / to talk / to gossip / to tell stories / talk / word
People 2	聪明	cōng ming	GT: clever	intelligent / clever / bright / smart / acute (of sight and hearing)
People 2	别人	bié ren	GT: other people	other people / others / other person
People 2	不但	bù dàn	GT: Not only	not only (... but also...)
People 2	而且	ér qiě	GT: and	(not only ...) but also / moreover / in addition / furthermore
People 2	聪	cōng	GT: Clever	quick at hearing / wise / clever / sharp-witted / intelligent / acute
People 2	而	ér	GT: and	and / as well as / and so / but (not) / yet (not) / (indicates causal relation) / (indicates change of state) / (indicates contrast)
People 2	且	qiě	GT: And	and / moreover / yet / for the time being / to be about to / both (... and...)
Celebration	春	chūn	GT: spring	surname Chun || spring (season) / gay / joyful / youthful / love / lust / life
Celebration	快乐	kuài lè	GT: happy	happy / merry
Celebration	节日	jié rì	GT: festival	holiday / festival / CL: 個｜个
Celebration	春节	chūn jié	GT: Spring Festival	Spring Festival (Chinese New Year)
Celebration	礼物	lǐ wù	GT: gift	gift / present / CL: 件, 個｜个, 份
Celebration	送	sòng	GT: give away	to deliver / to carry / to give (as a present) / to present (with) / to see off / to send
Celebration	新年	xīn nián	GT: new Year	New Year / CL: 個｜个
Celebration	白酒	bái jiǔ	GT: Spirit	baijiu, a spirit usually distilled from sorghum
Celebration	礼	lǐ	GT: ceremony	surname Li / abbr. for 禮記｜礼记, Classic of Rites || gift / rite / ceremony / CL: 份 / propriety / etiquette / courtesy
Celebration	物	wù	GT: object	thing / object / matter / abbr. for physics 物理
Celebration	干杯	gān bēi	GT: Cheers	to drink a toast / Cheers! (proposing a toast) / Here's to you! / Bottoms up! / lit. dry cup
Celebration	祝	zhù	GT: wish	surname Zhu || to wish / to express good wishes / to pray / (old) wizard
Celebration	法国	fǎ guó	GT: France	France / French
Celebration	红酒	hóng jiǔ	GT: Red wine	Red wine
Celebration	法	fǎ	GT: law	France / French / abbr. for 法國｜法国 / Taiwan pr. [Fa4] || law / method / way / Buddhist teaching / Legalist
Sports 2	赛	sài	GT: Competition	to compete / competition / match / to surpass / better than / superior to / to excel
Sports 2	练	liàn	GT: practice	to practice / to train / to drill / to perfect (one's skill) / exercise
Sports 2	练习	liàn xí	GT: Exercise	to practice / exercise / drill / practice / CL: 個｜个
Sports 2	比赛	bǐ sài	GT: game	competition (sports etc) / match / CL: 場｜场, 次 / to compete
Sports 2	好在	hǎo zài	GT: Fortunately	luckily / fortunately
Sports 2	乒乓球	pīng pāng qiú	GT: pingpong	table tennis / ping-pong / table tennis ball / CL: 個｜个
Sports 2	乒	pīng	GT: Table tennis	(onom.) ping / bing
Sports 2	乓	pāng	GT: Bang	(onom.) bang
Sports 2	参加	cān jiā	GT: participate	to participate / to take part / to join
Sports 2	第	dì	GT: The first	(prefix indicating ordinal number, e.g. first, number two etc) / order / (old) rank in the imperial examinations / mansion / (literary) but / just
Sports 2	参	cān	GT: Ginseng	to take part in / to participate / to join / to attend / to counsel / unequal / varied / irregular / uneven / not uniform / abbr. for 參議院｜参议院 Senate, Upper House || ginseng / one of the 28 constellations
Sports 2	网球	wǎng qiú	GT: tennis	tennis / tennis ball / CL: 個｜个
Sports 2	排球	pái qiú	GT: volleyball	volleyball / CL: 個｜个
Sports 2	加油	jiā yóu	GT: Refuel	to add oil / to top up with gas / to refuel / to accelerate / to step on the gas / (fig.) to make an extra effort / to cheer sb on
Sports 2	排	pái	GT: row	a row / a line / to set in order / to arrange / to line up / to eliminate / to drain / to push open / platoon / raft / classifier for lines, rows etc
Sports 2	油	yóu	GT: oil	oil / fat / grease / petroleum / to apply tung oil, paint or varnish / oily / greasy / glib / cunning
Sports 2	输	shū	GT: lose	to lose / to transport / to donate / to enter (a password)
Sports 2	赢	yíng	GT: win	to beat / to win / to profit
Sports 2	失望	shī wàng	GT: Disappointed	disappointed / to lose hope / to despair
Sports 2	信心	xìn xīn	GT: confidence	confidence / faith (in sb or sth) / CL: 個｜个
Sports 2	失	shī	GT: Lose	to lose / to miss / to fail
Sports 2	心	xīn	GT: heart	heart / mind / intention / center / core / CL: 顆｜颗, 個｜个
School	同	tóng	GT: with	(used in given names) / variant of 同 || like / same / similar / together / alike / with || see 衚衕｜胡同
School	课	kè	GT: class	subject / course / CL: 門｜门 / class / lesson / CL: 堂, 節｜节 / to levy / tax / form of divination
School	教	jiào	GT: teach	surname Jiao || to teach || religion / teaching / to make / to cause / to tell
School	教室	jiào shì	GT: Classroom	classroom / CL: 間｜间
School	同学	tóng xué	GT: Classmate	to study at the same school / fellow student / classmate / CL: 位, 個｜个
School	地理	dì lǐ	GT: Geography	geography
School	理	lǐ	GT: Reason	texture / grain (of wood) / inner essence / intrinsic order / reason / logic / truth / science / natural science (esp. physics) / to manage / to pay attention to / to run (affairs) / to handle / to put in order / to tidy up
School	懂	dǒng	GT: understand	to understand / to comprehend
School	问题	wèn tí	GT: problem	question / problem / issue / topic / CL: 個｜个
School	笔	bǐ	GT: pen	pen / pencil / writing brush / to write or compose / the strokes of Chinese characters / classifier for sums of money, deals / CL: 支, 枝
School	题	tí	GT: question	surname Ti || topic / problem for discussion / exam question / subject / to inscribe / to mention / CL: 個｜个, 道
School	美术	měi shù	GT: art	art / fine arts / painting / CL: 種｜种
School	术	shù	GT: Technique	method / technique || various genera of flowers of Asteracea family (daisies and chrysanthemums), including Atractylis lancea
School	考试	kǎo shì	GT: examination	to take an exam / exam / CL: 次
School	准备	zhǔn bèi	GT: ready	preparation / to prepare / to intend / to be about to / reserve (fund)
School	考	kǎo	GT: test	to beat / to hit / variant of 考 / to inspect / to test / to take an exam || to check / to verify / to test / to examine / to take an exam / to take an entrance exam for / deceased father
School	备	bèi	GT: Equipment	to prepare / get ready / to provide or equip
School	科学	kē xué	GT: science	science / scientific knowledge / scientific / rational / CL: 門｜门, 個｜个, 種｜种
School	科	kē	GT: Family	branch of study / administrative section / division / field / branch / stage directions / family (taxonomy) / rules / laws / to mete out (punishment) / to levy (taxes etc) / to fine sb / CL: 個｜个
School	下课	xià kè	GT: Finish class	to finish class / to get out of class
Family 3	爷爷	yé ye	GT: grandfather	(coll.) father's father / paternal grandfather / CL: 個｜个
Family 3	奶奶	nǎi nai	GT: grandmother	(informal) grandma (paternal grandmother) / (respectful) mistress of the house / CL: 位 / (coll.) boobies / breasts
Family 3	阿姨	ā yí	GT: Auntie	maternal aunt / step-mother / childcare worker / nursemaid / woman of similar age to one's parents (term of address used by child) / CL: 個｜个
Family 3	爷	yé	GT: Father	grandpa / old gentleman
Family 3	阿	ā	GT: A	abbr. for Afghanistan 阿富汗 || prefix used before monosyllabic names, kinship terms etc to indicate familiarity / used in transliteration / also pr. [a4] || flatter
Family 3	姨	yí	GT: aunt	mother's sister / aunt
Family 3	兄弟姐妹	xiōng dì jiě mèi	GT: brothers and sisters	Brothers and Sisters
Family 3	关系	guān xi	GT: relationship	relation / relationship / to concern / to affect / to have to do with / guanxi / CL: 個｜个
Family 3	叔叔	shū shu	GT: uncle	father's younger brother / uncle / Taiwan pr. [shu2 shu5] / CL: 個｜个
Family 3	父母	fù mǔ	GT: parents	father and mother / parents
Family 3	兄	xiōng	GT: Brother	elder brother
Family 3	叔	shū	GT: uncle	uncle / father's younger brother / husband's younger brother / Taiwan pr. [shu2]
Family 3	父	fù	GT: father	father
Family 3	母	mǔ	GT: mother	mother / elderly female relative / origin / source / (of animals) female
Family 3	像	xiàng	GT: image	to resemble / to be like / to look as if / such as / appearance / image / portrait / image under a mapping (math.)
Family 3	一样	yī yàng	GT: same	same / like / equal to / the same as / just like
Family 3	亲戚	qīn qi	GT: relative	a relative (i.e. family relation) / CL: 門｜门, 個｜个, 位
Family 3	戚	qī	GT: Qi	surname Qi || relative / parent / grief / sorrow / battle-axe
Family 3	亲	qīn	GT: Dear	parent / one's own (flesh and blood) / relative / related / marriage / bride / close / intimate / in person / first-hand / in favor of / pro- / to kiss / (Internet slang) dear || parents-in-law of one's offspring
Gourmet 1	拉面	lā miàn	GT: Hand-Pulled Noodle	pulled noodles / ramen
Gourmet 1	点心	diǎn xin	GT: dessert	light refreshments / pastry / dimsum (in Cantonese cooking) / dessert
